"filename", "language", "JavaScript", "JSON", "Markdown", "Handlebars", "CSS", "XML", "Less", "SCSS", "comment", "blank", "total"
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/routes/admin/index.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 43, 1, 53
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/routes/admin/posts.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 76, 1, 87
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/routes/admin/users.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 108, 1, 121
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/routes/home/index.js", "JavaScript", 481, 0, 0, 0, 0, 0, 0, 0, 17, 83, 581
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/admin/categories/edit.handlebars", "Handlebars", 0, 0, 0, 13, 0, 0, 0, 0, 0, 1, 14
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/admin/categories/index.handlebars", "Handlebars", 0, 0, 0, 39, 0, 0, 0, 0, 0, 2, 41
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/admin/comments/index.handlebars", "Handlebars", 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/admin/index.handlebars", "Handlebars", 0, 0, 0, 4, 0, 0, 0, 0, 6, 2, 12
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/admin/posts/edit.handlebars", "Handlebars", 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 43
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/admin/posts/index.handlebars", "Handlebars", 0, 0, 0, 39, 0, 0, 0, 0, 0, 3, 42
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/admin/users/edit.handlebars", "Handlebars", 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/admin/users/index.handlebars", "Handlebars", 0, 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/admin/users/password.handlebars", "Handlebars", 0, 0, 0, 17, 0, 0, 0, 0, 0, 2, 19
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/about.handlebars", "Handlebars", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/account/posts.handlebars", "Handlebars", 0, 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/account/profile.handlebars", "Handlebars", 0, 0, 0, 33, 0, 0, 0, 0, 0, 1, 34
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/category.handlebars", "Handlebars", 0, 0, 0, 30, 0, 0, 0, 0, 7, 9, 46
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/index.handlebars", "Handlebars", 0, 0, 0, 30, 0, 0, 0, 0, 7, 9, 46
"/Users/christianhustert/Desktop/NodeJS-CMS/nodejs-cms/views/home/login.handlebars", "Handlebars", 0, 0, 0, 28, 0, 0, 0, 0, 6, 1, 35
